Region,Bay,Date,TrawlNum,trapCount_Unvented,trapCount_Vented,bsbCount_Unvented,bsbCount_Vented,Latitude,Longitude,depthStrata,State,ventedCPUE,unventedCPUE,StdCatch,Year,Month
BIS,Rhode Island,21-08-2006,3365,3,3,0,0,41.4019,-71.4604,1,RI,0,0,0,2006,8
BIS,Rhode Island,21-08-2006,19872,3,3,0,1,41.2053,-71.5322,2,RI,0.333333333,0,1,2006,8
BIS,Rhode Island,21-08-2006,20084,3,3,0,0,41.182,-71.6142,1,RI,0,0,0,2006,8
BIS,Rhode Island,21-08-2006,20186,3,3,0,0,41.302,-71.5757,2,RI,0,0,0,2006,8
BIS,Rhode Island,21-08-2006,20224,3,3,0,0,41.3647,-71.522,1,RI,0,0,0,2006,8
BIS,Rhode Island,16-09-2006,3105,3,3,3,1,41.3485,-71.4463,2,RI,0.333333333,1,4,2006,9
BIS,Rhode Island,16-09-2006,3200,3,3,1,0,41.3657,-71.432,2,RI,0,0.333333333,1,2006,9
BIS,Rhode Island,16-09-2006,3288,3,3,0,0,41.3783,-71.4177,2,RI,0,0,0,2006,9
BIS,Rhode Island,16-09-2006,3365,3,3,0,0,41.3972,-71.4604,1,RI,0,0,0,2006,9
BIS,Rhode Island,16-09-2006,19872,3,3,0,0,41.2028,-71.5335,2,RI,0,0,0,2006,9
BIS,Rhode Island,16-09-2006,20084,3,3,7,1,41.2028,-71.5335,1,RI,0.333333333,2.333333333,8,2006,9
BIS,Rhode Island,16-09-2006,20186,3,3,13,0,41.3015,-71.5781,2,RI,0,4.333333333,13,2006,9
BIS,Rhode Island,16-09-2006,20224,3,3,1,0,41.3015,-71.5781,1,RI,0,0.333333333,1,2006,9
BIS,Rhode Island,20-09-2006,3105,3,3,0,4,41.3485,-71.4463,2,RI,1.333333333,0,4,2006,9
BIS,Rhode Island,20-09-2006,3200,3,3,0,1,41.3641,-71.4284,2,RI,0.333333333,0,1,2006,9
BIS,Rhode Island,20-09-2006,3288,3,3,0,0,41.3783,-71.4177,2,RI,0,0,0,2006,9
BIS,Rhode Island,20-09-2006,3365,3,3,0,0,41.404,-71.4616,1,RI,0,0,0,2006,9
BIS,Rhode Island,20-09-2006,19872,3,3,0,0,41.2053,-71.5322,2,RI,0,0,0,2006,9
BIS,Rhode Island,20-09-2006,20084,3,3,3,0,41.182,-71.6142,1,RI,0,1,3,2006,9
BIS,Rhode Island,20-09-2006,20186,3,3,8,5,41.302,-71.5757,2,RI,1.666666667,2.666666667,13,2006,9
BIS,Rhode Island,20-09-2006,20224,3,3,0,0,41.3015,-71.5781,1,RI,0,0,0,2006,9
BIS,Rhode Island,11-06-2007,2005,3,3,0,0,41.148,-71.5344,2,RI,0,0,0,2007,6
BIS,Rhode Island,11-06-2007,2350,3,3,0,0,41.2098,-71.6447,2,RI,0,0,0,2007,6
BIS,Rhode Island,11-06-2007,2357,3,3,1,0,41.211,-71.5379,2,RI,0,0.333333333,1,2007,6
BIS,Rhode Island,11-06-2007,3008,3,3,0,0,41.3348,-71.4334,2,RI,0,0,0,2007,6
BIS,Rhode Island,11-06-2007,3097,3,3,0,0,41.3496,-71.5802,1,RI,0,0,0,2007,6
BIS,Rhode Island,11-06-2007,3102,3,3,6,0,41.3511,-71.4986,1,RI,0,2,6,2007,6
BIS,Rhode Island,11-06-2007,3203,3,3,0,0,41.3688,-71.3855,2,RI,0,0,0,2007,6
BIS,Rhode Island,11-06-2007,3207,3,3,0,0,41.3681,-71.3234,2,RI,0,0,0,2007,6
BIS,Rhode Island,14-06-2007,2350,3,3,0,0,41.2098,-71.6447,2,RI,0,0,0,2007,6
BIS,Rhode Island,14-06-2007,2357,3,3,0,0,41.211,-71.5379,2,RI,0,0,0,2007,6
BIS,Rhode Island,14-06-2007,3008,3,3,0,0,41.3348,-71.4334,2,RI,0,0,0,2007,6
BIS,Rhode Island,14-06-2007,3097,3,3,4,1,41.3496,-71.5802,1,RI,0.333333333,1.333333333,5,2007,6
BIS,Rhode Island,14-06-2007,3102,3,3,23,1,41.3511,-71.4986,1,RI,0.333333333,7.666666667,24,2007,6
BIS,Rhode Island,14-06-2007,3203,3,3,0,0,41.3688,-71.3855,2,RI,0,0,0,2007,6
BIS,Rhode Island,14-06-2007,3207,3,3,0,0,41.3681,-71.3234,2,RI,0,0,0,2007,6
BIS,Rhode Island,13-07-2007,2005,3,3,0,0,41.148,-71.5344,2,RI,0,0,0,2007,7
BIS,Rhode Island,13-07-2007,2350,3,3,0,0,41.2098,-71.6447,2,RI,0,0,0,2007,7
BIS,Rhode Island,13-07-2007,2357,3,3,0,0,41.211,-71.5379,2,RI,0,0,0,2007,7
BIS,Rhode Island,13-07-2007,3008,3,3,0,0,41.3348,-71.4334,2,RI,0,0,0,2007,7
BIS,Rhode Island,13-07-2007,3097,3,3,2,1,41.3496,-71.5802,1,RI,0.333333333,0.666666667,3,2007,7
BIS,Rhode Island,13-07-2007,3102,3,3,3,0,41.3511,-71.4986,1,RI,0,1,3,2007,7
BIS,Rhode Island,13-07-2007,3203,3,3,0,0,41.3688,-71.3855,2,RI,0,0,0,2007,7
BIS,Rhode Island,13-07-2007,3207,3,3,0,0,41.3681,-71.3234,2,RI,0,0,0,2007,7
BIS,Rhode Island,16-07-2007,2005,3,3,1,0,41.148,-71.5344,2,RI,0,0.333333333,1,2007,7
BIS,Rhode Island,16-07-2007,2350,3,3,0,0,41.2098,-71.6447,2,RI,0,0,0,2007,7
BIS,Rhode Island,16-07-2007,2357,3,3,0,0,41.211,-71.5379,2,RI,0,0,0,2007,7
BIS,Rhode Island,16-07-2007,3008,3,3,0,0,41.3348,-71.4334,2,RI,0,0,0,2007,7
BIS,Rhode Island,16-07-2007,3097,3,3,2,1,41.3496,-71.5802,1,RI,0.333333333,0.666666667,3,2007,7
BIS,Rhode Island,16-07-2007,3102,3,3,0,0,41.3511,-71.4986,1,RI,0,0,0,2007,7
BIS,Rhode Island,16-07-2007,3203,3,3,0,0,41.3688,-71.3855,2,RI,0,0,0,2007,7
BIS,Rhode Island,16-07-2007,3207,3,3,0,0,41.3681,-71.3234,2,RI,0,0,0,2007,7
BIS,Rhode Island,17-08-2007,2005,3,3,0,0,41.147,-71.5393,2,RI,0,0,0,2007,8
BIS,Rhode Island,17-08-2007,2350,3,3,0,0,41.2088,-71.6496,2,RI,0,0,0,2007,8
BIS,Rhode Island,17-08-2007,2357,3,3,0,0,41.2115,-71.5354,2,RI,0,0,0,2007,8
BIS,Rhode Island,17-08-2007,3097,3,3,1,0,41.3517,-71.5813,1,RI,0,0.333333333,1,2007,8
BIS,Rhode Island,17-08-2007,3102,3,3,3,0,41.3465,-71.4986,1,RI,0,1,3,2007,8
BIS,Rhode Island,17-08-2007,3203,3,3,0,0,41.3688,-71.3855,2,RI,0,0,0,2007,8
BIS,Rhode Island,17-08-2007,3207,3,3,0,0,41.3681,-71.3234,2,RI,0,0,0,2007,8
BIS,Rhode Island,19-08-2007,2005,3,3,0,0,41.1491,-71.5404,2,RI,0,0,0,2007,8
BIS,Rhode Island,19-08-2007,2350,3,3,0,0,41.2063,-71.6509,2,RI,0,0,0,2007,8
BIS,Rhode Island,19-08-2007,2357,3,3,1,0,41.211,-71.5379,2,RI,0,0.333333333,1,2007,8
BIS,Rhode Island,19-08-2007,3008,3,3,0,0,41.3343,-71.4358,2,RI,0,0,0,2007,8
BIS,Rhode Island,19-08-2007,3097,3,3,10,0,41.3496,-71.5802,1,RI,0,3.333333333,10,2007,8
BIS,Rhode Island,19-08-2007,3102,3,3,1,0,41.3465,-71.4986,1,RI,0,0.333333333,1,2007,8
BIS,Rhode Island,19-08-2007,3203,3,3,0,0,41.3683,-71.3879,2,RI,0,0,0,2007,8
BIS,Rhode Island,19-08-2007,3207,3,3,0,0,41.3702,-71.3247,2,RI,0,0,0,2007,8
BIS,Rhode Island,15-06-2008,1882,3,3,1,0,41.1341,-71.6516,1,RI,0,0.333333333,1,2008,6
BIS,Rhode Island,15-06-2008,2000,3,3,0,0,41.1454,-71.6169,1,RI,0,0,0,2008,6
BIS,Rhode Island,15-06-2008,2353,3,3,1,0,41.2156,-71.5941,2,RI,0,0.333333333,1,2008,6
BIS,Rhode Island,15-06-2008,2921,3,3,0,0,41.3142,-71.4969,2,RI,0,0,0,2008,6
BIS,Rhode Island,15-06-2008,2998,3,3,0,0,41.3336,-71.6007,1,RI,0,0,0,2008,6
BIS,Rhode Island,15-06-2008,3004,3,3,0,0,41.3366,-71.5012,1,RI,0,0,0,2008,6
BIS,Rhode Island,15-06-2008,3099,3,3,3,0,41.3512,-71.5518,1,RI,0,1,3,2008,6
BIS,Rhode Island,15-06-2008,3106,3,3,0,0,41.3448,-71.4416,2,RI,0,0,0,2008,6
BIS,Rhode Island,15-06-2008,3289,3,3,0,0,41.3783,-71.4177,2,RI,0,0,0,2008,6
BIS,Rhode Island,18-06-2008,1882,3,3,0,0,41.1341,-71.6516,1,RI,0,0,0,2008,6
BIS,Rhode Island,18-06-2008,2000,3,3,1,1,41.1454,-71.6169,1,RI,0.333333333,0.333333333,2,2008,6
BIS,Rhode Island,18-06-2008,2353,3,3,2,0,41.2156,-71.5941,2,RI,0,0.666666667,2,2008,6
BIS,Rhode Island,18-06-2008,2921,3,3,0,0,41.3142,-71.4969,2,RI,0,0,0,2008,6
BIS,Rhode Island,18-06-2008,2998,3,3,0,0,41.3336,-71.6007,1,RI,0,0,0,2008,6
BIS,Rhode Island,18-06-2008,3004,3,3,0,0,41.3366,-71.5012,1,RI,0,0,0,2008,6
BIS,Rhode Island,18-06-2008,3099,3,3,0,0,41.3512,-71.5518,1,RI,0,0,0,2008,6
BIS,Rhode Island,18-06-2008,3106,3,3,0,0,41.3443,-71.444,2,RI,0,0,0,2008,6
BIS,Rhode Island,18-06-2008,3289,3,3,0,0,41.3783,-71.4177,2,RI,0,0,0,2008,6
BIS,Rhode Island,20-07-2008,1882,3,3,1,1,41.1627,-71.6204,1,RI,0.333333333,0.333333333,2,2008,7
BIS,Rhode Island,20-07-2008,2000,3,3,5,0,41.1573,-71.6365,1,RI,0,1.666666667,5,2008,7
BIS,Rhode Island,20-07-2008,2353,3,3,0,0,41.2135,-71.593,2,RI,0,0,0,2008,7
BIS,Rhode Island,20-07-2008,2921,3,3,0,0,41.3137,-71.4993,2,RI,0,0,0,2008,7
BIS,Rhode Island,20-07-2008,2998,3,3,1,1,41.3361,-71.5994,2,RI,0.333333333,0.333333333,2,2008,7
BIS,Rhode Island,20-07-2008,3004,3,3,5,0,41.3355,-71.5059,1,RI,0,1.666666667,5,2008,7
BIS,Rhode Island,20-07-2008,3099,3,3,3,0,41.3512,-71.5518,1,RI,0,1,3,2008,7
BIS,Rhode Island,20-07-2008,3106,3,3,0,0,41.3448,-71.4416,2,RI,0,0,0,2008,7
BIS,Rhode Island,20-07-2008,3289,3,3,0,0,41.3778,-71.4201,2,RI,0,0,0,2008,7
BIS,Rhode Island,23-07-2008,1882,3,3,0,0,41.1341,-71.6516,1,RI,0,0,0,2008,7
BIS,Rhode Island,23-07-2008,2000,3,3,0,1,41.1627,-71.6204,1,RI,0.333333333,0,1,2008,7
BIS,Rhode Island,23-07-2008,2353,3,3,2,2,41.2156,-71.5941,2,RI,0.666666667,0.666666667,4,2008,7
BIS,Rhode Island,23-07-2008,2921,3,3,0,0,41.3131,-71.5017,2,RI,0,0,0,2008,7
BIS,Rhode Island,23-07-2008,2998,3,3,3,2,41.3356,-71.6018,1,RI,0.666666667,1,5,2008,7
BIS,Rhode Island,23-07-2008,3004,3,3,2,0,41.3366,-71.5012,1,RI,0,0.666666667,2,2008,7
BIS,Rhode Island,23-07-2008,3099,3,3,4,0,41.3512,-71.5518,1,RI,0,1.333333333,4,2008,7
BIS,Rhode Island,23-07-2008,3106,3,3,0,0,41.3427,-71.4404,2,RI,0,0,0,2008,7
BIS,Rhode Island,23-07-2008,3289,3,3,0,0,41.3757,-71.4189,2,RI,0,0,0,2008,7
BIS,Rhode Island,18-08-2008,1882,3,3,1,0,41.1341,-71.6516,1,RI,0,0.333333333,1,2008,8
BIS,Rhode Island,18-08-2008,2000,3,3,2,0,41.1454,-71.6169,1,RI,0,0.666666667,2,2008,8
BIS,Rhode Island,18-08-2008,2353,3,3,1,1,41.2135,-71.593,2,RI,0.333333333,0.333333333,2,2008,8
BIS,Rhode Island,18-08-2008,2921,3,3,0,0,41.3131,-71.5017,2,RI,0,0,0,2008,8
BIS,Rhode Island,18-08-2008,2998,3,3,1,1,41.3356,-71.6018,1,RI,0.333333333,0.333333333,2,2008,8
BIS,Rhode Island,18-08-2008,3004,3,3,2,0,41.335,-71.5083,1,RI,0,0.666666667,2,2008,8
BIS,Rhode Island,18-08-2008,3099,3,3,1,0,41.3512,-71.5518,1,RI,0,0.333333333,1,2008,8
BIS,Rhode Island,18-08-2008,3106,3,3,0,0,41.3427,-71.4404,2,RI,0,0,0,2008,8
BIS,Rhode Island,18-08-2008,3289,3,3,0,0,41.3757,-71.4189,2,RI,0,0,0,2008,8
BIS,Rhode Island,21-08-2008,1882,3,3,16,0,41.1352,-71.6576,1,RI,0,5.333333333,16,2008,8
BIS,Rhode Island,21-08-2008,2000,3,3,0,0,41.1577,-71.6232,1,RI,0,0,0,2008,8
BIS,Rhode Island,21-08-2008,2353,3,3,7,0,41.2645,-71.6225,2,RI,0,2.333333333,7,2008,8
BIS,Rhode Island,21-08-2008,2921,3,3,0,0,41.3131,-71.5017,2,RI,0,0,0,2008,8
BIS,Rhode Island,21-08-2008,2998,3,3,3,2,41.3356,-71.6018,1,RI,0.666666667,1,5,2008,8
BIS,Rhode Island,21-08-2008,3004,3,3,1,0,41.3355,-71.5059,1,RI,0,0.333333333,1,2008,8
BIS,Rhode Island,21-08-2008,3099,3,3,3,0,41.3512,-71.5518,1,RI,0,1,3,2008,8
BIS,Rhode Island,21-08-2008,3106,3,3,0,0,41.3417,-71.4452,2,RI,0,0,0,2008,8
BIS,Rhode Island,21-08-2008,3289,3,3,0,0,41.3757,-71.4189,2,RI,0,0,0,2008,8
BIS,Rhode Island,24-07-2009,2236,3,3,1,0,41.1835,-71.5503,1,RI,0,0.333333333,1,2009,7
BIS,Rhode Island,24-07-2009,2239,3,3,2,0,41.1773,-71.5011,2,RI,0,0.666666667,2,2009,7
BIS,Rhode Island,24-07-2009,2469,3,3,0,0,41.186,-71.5489,2,RI,0,0,0,2009,7
BIS,Rhode Island,24-07-2009,2920,3,3,2,0,41.3121,-71.4957,2,RI,0,0.666666667,2,2009,7
BIS,Rhode Island,24-07-2009,3193,3,3,3,0,41.3616,-71.5469,1,RI,0,1,3,2009,7
BIS,Rhode Island,24-07-2009,3289,3,3,0,0,41.4004,-71.4249,2,RI,0,0,0,2009,7
BIS,Rhode Island,24-07-2009,3367,3,3,1,0,41.3877,-71.4817,2,RI,0,0.333333333,1,2009,7
BIS,Rhode Island,28-07-2009,2236,3,3,1,0,41.1889,-71.5343,1,RI,0,0.333333333,1,2009,7
BIS,Rhode Island,28-07-2009,2239,3,3,0,0,41.1819,-71.5008,2,RI,0,0,0,2009,7
BIS,Rhode Island,28-07-2009,2469,3,3,3,0,41.231,-71.5297,2,RI,0,1,3,2009,7
BIS,Rhode Island,28-07-2009,2920,3,3,1,0,41.3121,-71.4957,2,RI,0,0.333333333,1,2009,7
BIS,Rhode Island,28-07-2009,3193,3,3,4,0,41.3663,-71.5468,1,RI,0,1.333333333,4,2009,7
BIS,Rhode Island,28-07-2009,3289,3,3,0,1,41.4004,-71.4249,2,RI,0.333333333,0,1,2009,7
BIS,Rhode Island,28-07-2009,3367,3,3,1,0,41.3794,-71.477,2,RI,0,0.333333333,1,2009,7
BIS,Rhode Island,17-08-2009,1884,3,3,0,0,41.1361,-71.6067,1,RI,0,0,0,2009,8
BIS,Rhode Island,17-08-2009,2236,3,3,2,1,41.1839,-71.5478,1,RI,0.333333333,0.666666667,3,2009,8
BIS,Rhode Island,17-08-2009,2239,3,3,0,0,41.1799,-71.4997,2,RI,0,0,0,2009,8
BIS,Rhode Island,17-08-2009,2920,3,3,0,0,41.3121,-71.4957,2,RI,0,0,0,2009,8
BIS,Rhode Island,17-08-2009,3193,3,3,6,0,41.3642,-71.5457,1,RI,0,2,6,2009,8
BIS,Rhode Island,17-08-2009,3289,3,3,0,0,41.4009,-71.4225,2,RI,0,0,0,2009,8
BIS,Rhode Island,17-08-2009,3367,3,3,0,0,41.3584,-71.4653,2,RI,0,0,0,2009,8
BIS,Rhode Island,20-08-2009,1884,3,3,4,0,41.1377,-71.6102,1,RI,0,1.333333333,4,2009,8
BIS,Rhode Island,20-08-2009,2239,3,3,0,0,41.1794,-71.5022,2,RI,0,0,0,2009,8
BIS,Rhode Island,20-08-2009,2469,3,3,1,0,41.186,-71.5489,2,RI,0,0.333333333,1,2009,8
BIS,Rhode Island,20-08-2009,2920,3,3,3,0,41.3121,-71.4957,2,RI,0,1,3,2009,8
BIS,Rhode Island,20-08-2009,3193,3,3,4,0,41.3637,-71.548,1,RI,0,1.333333333,4,2009,8
BIS,Rhode Island,20-08-2009,3289,3,3,0,0,41.4025,-71.4261,2,RI,0,0,0,2009,8
BIS,Rhode Island,20-08-2009,3367,3,3,1,0,41.3584,-71.4653,2,RI,0,0.333333333,1,2009,8
BIS,Rhode Island,16-09-2009,1884,3,3,5,0,41.1377,-71.6102,1,RI,0,1.666666667,5,2009,9
BIS,Rhode Island,16-09-2009,2236,3,3,1,0,41.1835,-71.5503,1,RI,0,0.333333333,1,2009,9
BIS,Rhode Island,16-09-2009,2239,3,3,0,0,41.1773,-71.5011,2,RI,0,0,0,2009,9
BIS,Rhode Island,16-09-2009,2469,3,3,2,0,41.2613,-71.594,2,RI,0,0.666666667,2,2009,9
BIS,Rhode Island,16-09-2009,2920,3,3,5,0,41.31,-71.4946,2,RI,0,1.666666667,5,2009,9
BIS,Rhode Island,16-09-2009,3193,3,3,8,0,41.359,-71.5481,1,RI,0,2.666666667,8,2009,9
BIS,Rhode Island,16-09-2009,3289,3,3,0,0,41.4009,-71.4225,2,RI,0,0,0,2009,9
BIS,Rhode Island,16-09-2009,3367,3,3,0,0,41.3584,-71.4653,2,RI,0,0,0,2009,9
BIS,Rhode Island,19-09-2009,1884,3,3,9,0,41.1377,-71.6102,1,RI,0,3,9,2009,9
BIS,Rhode Island,19-09-2009,2236,3,3,2,0,41.1835,-71.5503,1,RI,0,0.666666667,2,2009,9
BIS,Rhode Island,19-09-2009,2239,3,3,1,0,41.1773,-71.5011,2,RI,0,0.333333333,1,2009,9
BIS,Rhode Island,19-09-2009,2920,3,3,7,1,41.3121,-71.4957,2,RI,0.333333333,2.333333333,8,2009,9
BIS,Rhode Island,19-09-2009,3193,3,3,4,0,41.359,-71.5481,1,RI,0,1.333333333,4,2009,9
BIS,Rhode Island,19-09-2009,3289,3,3,0,0,41.4009,-71.4225,2,RI,0,0,0,2009,9
BIS,Rhode Island,19-09-2009,3367,3,3,1,0,41.3579,-71.4676,2,RI,0,0.333333333,1,2009,9
BIS,Rhode Island,16-07-2010,2000,3,3,2,0,41.152,-71.6176,1,RI,0,0.666666667,2,2010,7
BIS,Rhode Island,16-07-2010,2006,3,3,0,0,41.1499,-71.5245,2,RI,0,0,0,2010,7
BIS,Rhode Island,16-07-2010,2357,3,3,0,0,41.2196,-71.5182,2,RI,0,0,0,2010,7
BIS,Rhode Island,16-07-2010,2573,3,3,0,0,41.2516,-71.6184,2,RI,0,0,0,2010,7
BIS,Rhode Island,16-07-2010,2921,3,3,2,0,41.3183,-71.4992,2,RI,0,0.666666667,2,2010,7
BIS,Rhode Island,16-07-2010,2994,3,3,2,0,41.3351,-71.6678,1,RI,0,0.666666667,2,2010,7
BIS,Rhode Island,16-07-2010,3101,3,3,2,0,41.3496,-71.5164,1,RI,0,0.666666667,2,2010,7
BIS,Rhode Island,16-07-2010,3108,3,3,0,0,41.3494,-71.3987,2,RI,0,0,0,2010,7
BIS,Rhode Island,19-07-2010,2000,3,3,7,0,41.152,-71.6176,1,RI,0,2.333333333,7,2010,7
BIS,Rhode Island,19-07-2010,2006,3,3,0,0,41.1499,-71.5245,2,RI,0,0,0,2010,7
BIS,Rhode Island,19-07-2010,2357,3,3,0,0,41.2213,-71.5325,2,RI,0,0,0,2010,7
BIS,Rhode Island,19-07-2010,2573,3,3,0,0,41.2511,-71.61,2,RI,0,0,0,2010,7
BIS,Rhode Island,19-07-2010,2921,3,3,1,0,41.3189,-71.4968,2,RI,0,0.333333333,1,2010,7
BIS,Rhode Island,19-07-2010,2994,3,3,5,0,41.3351,-71.6678,1,RI,0,1.666666667,5,2010,7
BIS,Rhode Island,19-07-2010,3101,3,3,5,0,41.3496,-71.5164,1,RI,0,1.666666667,5,2010,7
BIS,Rhode Island,19-07-2010,3108,3,3,0,0,41.3494,-71.3987,2,RI,0,0,0,2010,7
BIS,Rhode Island,12-08-2010,2000,2,1,10,0,41.154,-71.6186,1,RI,0,5,10,2010,8
BIS,Rhode Island,12-08-2010,2006,3,3,0,0,41.1504,-71.5221,2,RI,0,0,0,2010,8
BIS,Rhode Island,12-08-2010,2573,3,3,1,0,41.2444,-71.6092,2,RI,0,0.333333333,1,2010,8
BIS,Rhode Island,12-08-2010,2921,3,3,5,0,41.3189,-71.4968,2,RI,0,1.666666667,5,2010,8
BIS,Rhode Island,12-08-2010,2994,3,3,4,0,41.3346,-71.6701,1,RI,0,1.333333333,4,2010,8
BIS,Rhode Island,12-08-2010,3101,3,3,2,0,41.3496,-71.5164,1,RI,0,0.666666667,2,2010,8
BIS,Rhode Island,12-08-2010,3108,3,3,0,0,41.352,-71.3975,2,RI,0,0,0,2010,8
BIS,Rhode Island,15-08-2010,2000,1,2,6,0,41.152,-71.6176,1,RI,0,6,6,2010,8
BIS,Rhode Island,15-08-2010,2006,3,3,0,0,41.1504,-71.5221,2,RI,0,0,0,2010,8
BIS,Rhode Island,15-08-2010,2357,3,3,0,0,41.2234,-71.5336,2,RI,0,0,0,2010,8
BIS,Rhode Island,15-08-2010,2573,3,3,2,0,41.2444,-71.6092,2,RI,0,0.666666667,2,2010,8
BIS,Rhode Island,15-08-2010,2921,3,3,4,0,41.3194,-71.4944,2,RI,0,1.333333333,4,2010,8
BIS,Rhode Island,15-08-2010,2994,3,3,9,1,41.3351,-71.6678,1,RI,0.333333333,3,10,2010,8
BIS,Rhode Island,15-08-2010,3101,3,3,2,0,41.347,-71.5069,1,RI,0,0.666666667,2,2010,8
BIS,Rhode Island,15-08-2010,3108,3,3,0,0,41.3499,-71.3963,2,RI,0,0,0,2010,8
BIS,Rhode Island,15-08-2010,2000999,2,2,5,0,41.152,-71.6176,1,RI,0,2.5,5,2010,8
BIS,Rhode Island,14-09-2010,2000,3,3,3,0,41.152,-71.6176,1,RI,0,1,3,2010,9
BIS,Rhode Island,14-09-2010,2006,3,3,2,0,41.1504,-71.5221,2,RI,0,0.666666667,2,2010,9
BIS,Rhode Island,14-09-2010,2357,4,2,2,0,41.2196,-71.5182,2,RI,0,0.5,2,2010,9
BIS,Rhode Island,14-09-2010,2573,3,3,5,0,41.2516,-71.6184,2,RI,0,1.666666667,5,2010,9
BIS,Rhode Island,14-09-2010,2921,3,3,4,0,41.3194,-71.4944,1,RI,0,1.333333333,4,2010,9
BIS,Rhode Island,14-09-2010,2994,3,3,8,0,41.3351,-71.6678,1,RI,0,2.666666667,8,2010,9
BIS,Rhode Island,14-09-2010,3101,3,3,5,0,41.3454,-71.5141,1,RI,0,1.666666667,5,2010,9
BIS,Rhode Island,14-09-2010,3108,3,3,0,0,41.3455,-71.3975,2,RI,0,0,0,2010,9
BIS,Rhode Island,18-09-2010,2000,3,3,3,0,41.152,-71.6176,1,RI,0,1,3,2010,9
BIS,Rhode Island,18-09-2010,2006,3,3,5,0,41.1504,-71.5221,2,RI,0,1.666666667,5,2010,9
BIS,Rhode Island,18-09-2010,2357,3,3,2,0,41.2213,-71.5325,2,RI,0,0.666666667,2,2010,9
BIS,Rhode Island,18-09-2010,2573,3,3,10,0,41.2444,-71.6092,2,RI,0,3.333333333,10,2010,9
BIS,Rhode Island,18-09-2010,2921,3,3,4,0,41.3189,-71.4968,2,RI,0,1.333333333,4,2010,9
BIS,Rhode Island,18-09-2010,2994,3,3,4,0,41.3351,-71.6678,1,RI,0,1.333333333,4,2010,9
BIS,Rhode Island,18-09-2010,3101,3,3,0,0,41.3517,-71.5175,1,RI,0,0,0,2010,9
BIS,Rhode Island,18-09-2010,3108,3,3,0,0,41.3494,-71.3987,2,RI,0,0,0,2010,9
